datamonth,year,month,season,age, tripduration_mins ,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
12/1/2018,2018,12,Winter, 43 , 2.83 ,170,03:53.4,06:43.7,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26261,Subscriber,1975,1
12/1/2018,2018,12,Winter, 30 , 2.87 ,172,47:13.7,50:05.8,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,26175,Subscriber,1988,1
12/1/2018,2018,12,Winter, 28 , 4.12 ,247,48:57.7,53:05.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29255,Subscriber,1990,1
12/1/2018,2018,12,Winter, 23 , 6.77 ,406,33:53.7,40:39.7,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29275,Subscriber,1995,1
12/1/2018,2018,12,Winter, 42 , 5.90 ,354,26:52.5,32:46.5,3183,Exchange Place,40.7162469,-74.0334588,3211,Newark Ave,40.72152515,-74.04630454,29658,Subscriber,1976,1
12/1/2018,2018,12,Winter, 30 , 3.95 ,237,08:19.9,12:17.1,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29221,Subscriber,1988,1
12/1/2018,2018,12,Winter, 37 , 6.60 ,396,34:36.4,41:12.7,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,26306,Subscriber,1981,2
12/1/2018,2018,12,Winter, 58 , 5.42 ,325,03:04.9,08:30.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29640,Subscriber,1960,1
12/1/2018,2018,12,Winter, 37 , 4.10 ,246,22:33.4,26:39.6,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29623,Subscriber,1981,1
12/1/2018,2018,12,Winter, 49 , 13.75 ,825,02:48.6,16:33.8,3183,Exchange Place,40.7162469,-74.0334588,3483,Montgomery St,40.71942,-74.05099,26203,Customer,1969,0
12/1/2018,2018,12,Winter, 29 , 17.55 ,1053,17:48.9,35:22.4,3183,Exchange Place,40.7162469,-74.0334588,3206,Hilltop,40.7311689,-74.0575736,29257,Subscriber,1989,1
12/1/2018,2018,12,Winter, 26 , 2.17 ,130,22:32.6,24:43.0,3183,Exchange Place,40.7162469,-74.0334588,3681,Grand St,40.71517768,-74.03768331,29599,Subscriber,1992,1
12/1/2018,2018,12,Winter, 25 , 15.12 ,907,42:16.4,57:24.2,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,29673,Subscriber,1993,1
12/1/2018,2018,12,Winter, 45 , 33.65 ,2019,27:01.2,00:41.0,3183,Exchange Place,40.7162469,-74.0334588,3196,Riverview Park,40.7443187,-74.0439909,26306,Customer,1973,2
12/1/2018,2018,12,Winter, 49 , 20.55 ,1233,54:16.3,14:49.8,3183,Exchange Place,40.7162469,-74.0334588,3193,Lincoln Park,40.7246051,-74.07840595,29245,Subscriber,1969,1
12/1/2018,2018,12,Winter, 29 , 11.97 ,718,23:40.2,35:38.8,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29301,Subscriber,1989,1
12/1/2018,2018,12,Winter, 43 , 8.93 ,536,24:29.2,33:25.7,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,31443,Subscriber,1975,1
12/1/2018,2018,12,Winter, 28 , 5.33 ,320,21:59.8,27:20.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29485,Subscriber,1990,1
12/1/2018,2018,12,Winter, 47 , 2.15 ,129,22:37.4,24:47.4,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,29516,Subscriber,1971,2
12/1/2018,2018,12,Winter, 41 , 4.88 ,293,25:13.4,30:07.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26251,Subscriber,1977,2
12/1/2018,2018,12,Winter, 27 , 4.72 ,283,41:15.9,45:59.2,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29457,Subscriber,1991,1
12/1/2018,2018,12,Winter, 24 , 9.35 ,561,57:40.8,07:02.6,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,33781,Subscriber,1994,2
12/1/2018,2018,12,Winter, 36 , 7.58 ,455,05:09.1,12:44.9,3183,Exchange Place,40.7162469,-74.0334588,3279,Dixon Mills,40.72163014,-74.04996783,29235,Subscriber,1982,1
12/1/2018,2018,12,Winter, 45 , 15.93 ,956,12:55.1,28:51.7,3183,Exchange Place,40.7162469,-74.0334588,3212,Christ Hospital,40.73478582,-74.05044364,26175,Subscriber,1973,1
12/1/2018,2018,12,Winter, 57 , 3.48 ,209,41:52.9,45:22.7,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,26200,Subscriber,1961,1
12/1/2018,2018,12,Winter, 25 , 3.83 ,230,03:54.7,07:45.5,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26274,Subscriber,1993,1
12/1/2018,2018,12,Winter, 27 , 2.28 ,137,22:33.4,24:50.8,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,29252,Subscriber,1991,1
12/1/2018,2018,12,Winter, 25 , 6.50 ,390,26:07.1,32:37.6,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29258,Subscriber,1993,1
12/1/2018,2018,12,Winter, 38 , 5.48 ,329,33:56.8,39:26.6,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,29237,Subscriber,1980,1
12/1/2018,2018,12,Winter, 30 , 6.07 ,364,39:28.4,45:33.0,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,26274,Subscriber,1988,1
12/1/2018,2018,12,Winter, 43 , 1.25 ,75,31:04.4,32:19.9,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26164,Subscriber,1975,1
12/1/2018,2018,12,Winter, 34 , 4.22 ,253,14:33.0,18:46.9,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,33781,Subscriber,1984,1
12/1/2018,2018,12,Winter, 31 , 7.63 ,458,05:47.6,13:26.0,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,26262,Subscriber,1987,2
12/1/2018,2018,12,Winter, 39 , 4.88 ,293,45:51.0,50:44.6,3183,Exchange Place,40.7162469,-74.0334588,3681,Grand St,40.71517768,-74.03768331,26263,Subscriber,1979,2
12/1/2018,2018,12,Winter, 46 , 20.78 ,1247,05:46.5,26:33.8,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,26167,Subscriber,1972,1
12/1/2018,2018,12,Winter, 28 , 9.75 ,585,36:26.7,46:12.1,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,29263,Subscriber,1990,1
12/1/2018,2018,12,Winter, 60 , 5.60 ,336,51:20.4,56:56.9,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,29448,Subscriber,1958,1
12/1/2018,2018,12,Winter, 33 , 10.32 ,619,10:10.0,20:29.7,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,29673,Subscriber,1985,1
12/1/2018,2018,12,Winter, 38 , 4.72 ,283,51:35.2,56:19.2,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,29653,Subscriber,1980,1
12/1/2018,2018,12,Winter, 38 , 6.02 ,361,20:32.0,26:33.9,3183,Exchange Place,40.7162469,-74.0334588,3273,Manila & 1st,40.72165072,-74.04288411,29260,Subscriber,1980,1
12/1/2018,2018,12,Winter, 37 , 5.75 ,345,21:17.2,27:02.3,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,26258,Subscriber,1981,1
12/1/2018,2018,12,Winter, 31 , 25.38 ,1523,22:11.7,47:34.8,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,29453,Subscriber,1987,1
12/1/2018,2018,12,Winter, 28 , 3.55 ,213,27:26.7,30:59.8,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29656,Subscriber,1990,1
12/1/2018,2018,12,Winter, 49 , 1.95 ,117,27:33.2,29:30.4,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,29531,Subscriber,1969,0
12/1/2018,2018,12,Winter, 58 , 2.42 ,145,37:28.3,39:53.8,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29301,Subscriber,1960,1
12/1/2018,2018,12,Winter, 26 , 6.75 ,405,45:35.4,52:20.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29542,Subscriber,1992,1
12/1/2018,2018,12,Winter, 39 , 4.48 ,269,51:39.2,56:09.2,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29513,Subscriber,1979,1
12/1/2018,2018,12,Winter, 40 , 2.38 ,143,00:12.8,02:36.1,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,33781,Subscriber,1978,0
12/1/2018,2018,12,Winter, 32 , 3.17 ,190,01:45.3,04:56.2,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26164,Subscriber,1986,1
12/1/2018,2018,12,Winter, 41 , 4.13 ,248,02:37.8,06:46.3,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,26202,Subscriber,1977,1
12/1/2018,2018,12,Winter, 38 , 4.63 ,278,05:59.3,10:37.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29644,Subscriber,1980,1
12/1/2018,2018,12,Winter, 24 , 4.55 ,273,08:20.9,12:54.0,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29612,Subscriber,1994,1
12/1/2018,2018,12,Winter, 24 , 2.32 ,139,14:45.9,17:05.4,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29475,Subscriber,1994,1
12/1/2018,2018,12,Winter, 47 , 2.67 ,160,15:04.4,17:45.1,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,29659,Subscriber,1971,1
12/1/2018,2018,12,Winter, 51 , 4.35 ,261,21:39.8,26:01.4,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29224,Subscriber,1967,1
12/1/2018,2018,12,Winter, 37 , 4.90 ,294,26:22.8,31:17.4,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29508,Subscriber,1981,0
12/1/2018,2018,12,Winter, 42 , 4.47 ,268,29:34.6,34:03.4,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29623,Subscriber,1976,1
12/1/2018,2018,12,Winter, 24 , 18.40 ,1104,29:44.1,48:08.9,3183,Exchange Place,40.7162469,-74.0334588,3195,Sip Ave,40.73074263,-74.06378388,29576,Subscriber,1994,1
12/1/2018,2018,12,Winter, 43 , 4.47 ,268,29:33.0,34:01.6,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29678,Subscriber,1975,1
12/1/2018,2018,12,Winter, 39 , 3.60 ,216,30:37.9,34:14.7,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29308,Subscriber,1979,1
12/1/2018,2018,12,Winter, 49 , 11.63 ,698,33:44.6,45:23.2,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,29515,Subscriber,1969,0
12/1/2018,2018,12,Winter, 28 , 8.37 ,502,37:20.2,45:42.8,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,29533,Subscriber,1990,1
12/1/2018,2018,12,Winter, 48 , 5.27 ,316,46:39.9,51:56.0,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29644,Subscriber,1970,1
12/1/2018,2018,12,Winter, 49 , 1.78 ,107,06:01.5,07:49.1,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26188,Subscriber,1969,0
12/1/2018,2018,12,Winter, 56 , 13.22 ,793,11:19.5,24:33.1,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,29508,Subscriber,1962,1
12/1/2018,2018,12,Winter, 31 , 2.40 ,144,24:09.5,26:33.9,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29472,Subscriber,1987,1
12/1/2018,2018,12,Winter, 53 , 9.28 ,557,24:09.8,33:27.8,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,29523,Subscriber,1965,2
12/1/2018,2018,12,Winter, 36 , 3.00 ,180,33:45.2,36:46.0,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29542,Subscriber,1982,1
12/1/2018,2018,12,Winter, 36 , 3.73 ,224,34:24.2,38:08.3,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29288,Subscriber,1982,1
12/1/2018,2018,12,Winter, 50 , 4.32 ,259,35:20.8,39:39.9,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,29635,Subscriber,1968,2
12/1/2018,2018,12,Winter, 60 , 43.98 ,2639,46:56.0,30:55.1,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,31443,Subscriber,1958,1
12/1/2018,2018,12,Winter, 35 , 6.23 ,374,01:01.7,07:16.3,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,29235,Subscriber,1983,1
12/1/2018,2018,12,Winter, 47 , 1.97 ,118,08:38.2,10:36.8,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,26182,Subscriber,1971,2
12/1/2018,2018,12,Winter, 41 , 3.33 ,200,23:46.4,27:06.6,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26241,Subscriber,1977,1
12/1/2018,2018,12,Winter, 49 , 28.23 ,1694,40:23.6,08:37.8,3183,Exchange Place,40.7162469,-74.0334588,3269,Brunswick & 6th,40.72601173,-74.05038893,29197,Subscriber,1969,0
12/1/2018,2018,12,Winter, 29 , 7.62 ,457,41:03.0,48:40.2,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,31443,Subscriber,1989,1
12/1/2018,2018,12,Winter, 35 , 3.72 ,223,03:41.4,07:24.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26287,Subscriber,1983,1
12/1/2018,2018,12,Winter, 26 , 6.35 ,381,04:40.8,11:02.2,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,26242,Subscriber,1992,1
12/1/2018,2018,12,Winter, 60 , 43.37 ,2602,05:52.0,49:14.3,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29623,Subscriber,1958,1
12/1/2018,2018,12,Winter, 29 , 7.75 ,465,08:26.7,16:12.4,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,29504,Subscriber,1989,1
12/1/2018,2018,12,Winter, 61 , 4.97 ,298,44:07.7,49:06.4,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,26291,Subscriber,1957,1
12/1/2018,2018,12,Winter, 24 , 6.50 ,390,39:28.3,45:58.4,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29296,Subscriber,1994,1
12/1/2018,2018,12,Winter, 31 , 105.47 ,6328,22:29.5,07:58.1,3183,Exchange Place,40.7162469,-74.0334588,3209,Brunswick St,40.7241765,-74.0506564,29271,Subscriber,1987,2
12/1/2018,2018,12,Winter, 52 , 2.12 ,127,37:14.8,39:22.2,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29513,Subscriber,1966,1
12/1/2018,2018,12,Winter, 50 , 6.17 ,370,24:50.0,31:00.9,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29519,Subscriber,1968,1
12/1/2018,2018,12,Winter, 48 , 5.63 ,338,08:18.9,13:57.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29485,Subscriber,1970,1
12/1/2018,2018,12,Winter, 35 , 4.33 ,260,08:33.2,12:53.6,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26283,Subscriber,1983,1
12/1/2018,2018,12,Winter, 37 , 3.88 ,233,09:04.5,12:58.2,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,29123,Subscriber,1981,1
12/1/2018,2018,12,Winter, 77 , 7.52 ,451,26:36.0,34:07.1,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,26171,Subscriber,1941,2
12/1/2018,2018,12,Winter, 45 , 4.43 ,266,28:34.9,33:01.6,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26273,Subscriber,1973,1
12/1/2018,2018,12,Winter, 25 , 20.77 ,1246,29:37.7,50:24.0,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,26291,Subscriber,1993,1
12/1/2018,2018,12,Winter, 30 , 7.67 ,460,31:29.4,39:09.8,3183,Exchange Place,40.7162469,-74.0334588,3270,Jersey & 6th St,40.72528911,-74.04557168,29494,Subscriber,1988,1
12/1/2018,2018,12,Winter, 58 , 3.57 ,214,35:26.2,39:01.1,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26260,Subscriber,1960,1
12/1/2018,2018,12,Winter, 49 , 13.82 ,829,39:53.9,53:43.7,3183,Exchange Place,40.7162469,-74.0334588,3278,Monmouth and 6th,40.72568548,-74.04879034,26224,Subscriber,1969,0
12/1/2018,2018,12,Winter, 49 , 23.53 ,1412,48:19.1,11:51.7,3183,Exchange Place,40.7162469,-74.0334588,3275,Columbus Drive,40.7183552,-74.03891444,29491,Subscriber,1969,0
12/1/2018,2018,12,Winter, 39 , 22.30 ,1338,53:37.7,15:56.0,3183,Exchange Place,40.7162469,-74.0334588,3281,Leonard Gordon Park,40.74590997,-74.05727148,26271,Subscriber,1979,1
12/1/2018,2018,12,Winter, 29 , 4.50 ,270,00:48.7,05:18.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29606,Subscriber,1989,2
12/1/2018,2018,12,Winter, 39 , 4.33 ,260,04:40.6,09:00.7,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29266,Subscriber,1979,1
12/1/2018,2018,12,Winter, 43 , 3.75 ,225,09:52.0,13:37.3,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,26211,Subscriber,1975,1
12/1/2018,2018,12,Winter, 30 , 4.62 ,277,10:16.3,14:53.8,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,26287,Customer,1988,2
12/1/2018,2018,12,Winter, 48 , 7.67 ,460,10:57.9,18:38.0,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,29540,Subscriber,1970,1
12/1/2018,2018,12,Winter, 34 , 7.28 ,437,21:47.1,29:04.3,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,26260,Subscriber,1984,1
12/1/2018,2018,12,Winter, 22 , 10.77 ,646,22:14.3,33:00.5,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,26296,Subscriber,1996,2
12/1/2018,2018,12,Winter, 24 , 4.22 ,253,25:23.3,29:36.9,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29460,Subscriber,1994,1
12/1/2018,2018,12,Winter, 38 , 4.52 ,271,25:24.2,29:56.1,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29643,Subscriber,1980,1
12/1/2018,2018,12,Winter, 31 , 8.90 ,534,35:19.4,44:13.9,3183,Exchange Place,40.7162469,-74.0334588,3272,Jersey & 3rd,40.72333159,-74.04595256,29531,Subscriber,1987,2
12/1/2018,2018,12,Winter, 28 , 3.92 ,235,44:10.9,48:06.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29214,Subscriber,1990,1
12/1/2018,2018,12,Winter, 36 , 4.22 ,253,44:45.4,48:58.6,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29457,Subscriber,1982,1
12/1/2018,2018,12,Winter, 38 , 12.72 ,763,47:02.8,59:46.4,3183,Exchange Place,40.7162469,-74.0334588,3278,Monmouth and 6th,40.72568548,-74.04879034,29275,Subscriber,1980,2
12/1/2018,2018,12,Winter, 26 , 7.43 ,446,59:59.1,07:25.7,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,29224,Subscriber,1992,2
12/1/2018,2018,12,Winter, 28 , 3.87 ,232,13:46.3,17:38.8,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29272,Subscriber,1990,1
12/1/2018,2018,12,Winter, 33 , 6.68 ,401,20:18.3,26:59.6,3183,Exchange Place,40.7162469,-74.0334588,3205,JC Medical Center,40.71653978,-74.04963791,26251,Subscriber,1985,1
12/1/2018,2018,12,Winter, 43 , 3.95 ,237,23:42.5,27:39.9,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29640,Subscriber,1975,1
12/1/2018,2018,12,Winter, 30 , 3.93 ,236,24:15.4,28:12.3,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29439,Subscriber,1988,2
12/1/2018,2018,12,Winter, 47 , 3.77 ,226,34:44.1,38:30.2,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29472,Subscriber,1971,1
12/1/2018,2018,12,Winter, 38 , 3.73 ,224,52:22.8,56:07.7,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,26283,Subscriber,1980,1
12/1/2018,2018,12,Winter, 32 , 2.58 ,155,00:25.2,03:00.5,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26191,Subscriber,1986,1
12/1/2018,2018,12,Winter, 34 , 2.38 ,143,04:28.8,06:52.1,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,29485,Subscriber,1984,2
12/1/2018,2018,12,Winter, 31 , 2.45 ,147,09:44.9,12:12.0,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26273,Subscriber,1987,1
12/1/2018,2018,12,Winter, 28 , 4.45 ,267,11:57.9,16:25.2,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29606,Subscriber,1990,1
12/1/2018,2018,12,Winter, 24 , 6.00 ,360,11:58.2,17:58.7,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29570,Subscriber,1994,2
12/1/2018,2018,12,Winter, 31 , 3.40 ,204,22:11.8,25:35.9,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,29645,Subscriber,1987,1
12/1/2018,2018,12,Winter, 37 , 9.98 ,599,22:15.6,32:15.1,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.7112423,-74.0557013,29509,Subscriber,1981,2
12/1/2018,2018,12,Winter, 36 , 6.57 ,394,25:37.7,32:11.8,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29584,Subscriber,1982,1
12/1/2018,2018,12,Winter, 34 , 2.32 ,139,28:03.5,30:22.9,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,29198,Subscriber,1984,1
12/1/2018,2018,12,Winter, 69 , 7.12 ,427,33:48.4,40:55.9,3183,Exchange Place,40.7162469,-74.0334588,3279,Dixon Mills,40.72163014,-74.04996783,29675,Subscriber,1949,1
12/1/2018,2018,12,Winter, 46 , 3.32 ,199,35:02.2,38:21.2,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26236,Subscriber,1972,1
12/1/2018,2018,12,Winter, 37 , 2.60 ,156,38:15.2,40:51.8,3183,Exchange Place,40.7162469,-74.0334588,3275,Columbus Drive,40.7183552,-74.03891444,26164,Subscriber,1981,1
12/1/2018,2018,12,Winter, 29 , 2.58 ,155,45:34.3,48:09.8,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,29550,Subscriber,1989,1
12/1/2018,2018,12,Winter, 29 , 6.35 ,381,49:09.6,55:30.6,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,29678,Subscriber,1989,1
12/1/2018,2018,12,Winter, 45 , 2.73 ,164,03:06.6,05:51.1,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,26186,Subscriber,1973,1
12/1/2018,2018,12,Winter, 30 , 2.62 ,157,18:28.3,21:06.0,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,26273,Subscriber,1988,1
12/1/2018,2018,12,Winter, 32 , 3.27 ,196,04:18.1,07:34.3,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,29288,Subscriber,1986,1
12/1/2018,2018,12,Winter, 64 , 3.92 ,235,32:35.5,36:30.9,3183,Exchange Place,40.7162469,-74.0334588,3481,York St,40.71649,-74.04105,29304,Subscriber,1954,2
12/1/2018,2018,12,Winter, 38 , 5.70 ,342,35:01.9,40:44.1,3183,Exchange Place,40.7162469,-74.0334588,3202,Newport PATH,40.7272235,-74.0337589,29482,Subscriber,1980,1
12/1/2018,2018,12,Winter, 49 , 11.18 ,671,10:06.5,21:17.9,3183,Exchange Place,40.7162469,-74.0334588,3278,Monmouth and 6th,40.72568548,-74.04879034,29499,Subscriber,1969,0
12/1/2018,2018,12,Winter, 25 , 4.13 ,248,12:23.5,16:32.3,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29298,Subscriber,1993,1
