datamonth,year,month,season,age, tripduration_mins ,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
4/1/2020,2020,4,Spring, 18 , 23.95 ,1437,06:20.6,30:18.0,3678,Fairmount Ave,40.72572614,-74.07195926,3678,Fairmount Ave,40.72572614,-74.07195926,42314,Customer,2002,2
4/1/2020,2020,4,Spring, 57 , 4.40 ,264,02:42.1,07:06.1,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.7308971,-74.06391263,42146,Subscriber,1963,2
4/1/2020,2020,4,Spring, 39 , 4.23 ,254,20:28.1,24:42.1,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42255,Subscriber,1981,1
4/1/2020,2020,4,Spring, 56 , 7.15 ,429,33:30.5,40:40.2,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,42529,Subscriber,1964,1
4/1/2020,2020,4,Spring, 55 , 13.42 ,805,38:32.9,51:58.2,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.7308971,-74.06391263,42362,Subscriber,1965,1
4/1/2020,2020,4,Spring, 64 , 5.28 ,317,43:44.5,49:01.8,3211,Newark Ave,40.72152515,-74.04630454,3205,JC Medical Center,40.71653978,-74.04963791,42636,Subscriber,1956,1
4/1/2020,2020,4,Spring, 53 , 3.97 ,238,43:52.2,47:51.0,3267,Morris Canal,40.71241882,-74.03852552,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42336,Subscriber,1967,1
4/1/2020,2020,4,Spring, 38 , 6.00 ,360,51:07.8,57:08.3,3207,Oakland Ave,40.7376037,-74.0524783,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42531,Subscriber,1982,1
4/1/2020,2020,4,Spring, 27 , 1.32 ,79,00:01.7,01:21.4,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,27808,Subscriber,1993,1
4/1/2020,2020,4,Spring, 47 , 8.72 ,523,00:59.1,09:42.3,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.0337589,42499,Subscriber,1973,1
4/1/2020,2020,4,Spring, 61 , 35.30 ,2118,03:01.3,38:19.6,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42107,Subscriber,1959,1
4/1/2020,2020,4,Spring, 50 , 4.72 ,283,08:35.4,13:19.0,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,40910,Subscriber,1970,2
